Leybold GmbH
S/N = 000518
sw-version = 1.11.00
samplingtime[s] = 10
unit = mbar
Setpoints;Channel;SP-On;SP-Off
1;Off;na;na
2;Off;na;na
3;Off;na;na
4;Off;na;na
5;Off;na;na
6;Off;na;na
Leak test parameter
unit = mbar*l/s
Interval[min] = 1 
Volume[l] = 1.00
Channel = 1

date time;ch1 =  ;ch2 =  ;leak rate
;DU200;NOSEN
2021-05-11 13:09:35;0.5;....;n.a.
2021-05-11 13:09:45;0.5;....;n.a.
2021-05-11 13:09:55;0.5;....;n.a.
2021-05-11 13:10:05;0.5;....;n.a.
2021-05-11 13:10:15;0.5;....;n.a.
2021-05-11 13:10:25;0.5;....;n.a.
2021-05-11 13:10:35;0.5;....;n.a.
2021-05-11 13:10:45;0.5;....;n.a.
2021-05-11 13:10:55;0.5;....;n.a.
2021-05-11 13:11:05;0.5;....;n.a.
2021-05-11 13:11:15;0.5;....;n.a.
2021-05-11 13:11:25;0.5;....;n.a.
2021-05-11 13:11:35;0.5;....;n.a.
2021-05-11 13:11:45;0.5;....;n.a.
2021-05-11 13:11:55;0.5;....;n.a.
2021-05-11 13:12:05;0.5;....;n.a.
2021-05-11 13:12:15;0.5;....;n.a.
2021-05-11 13:12:25;0.5;....;n.a.
2021-05-11 13:12:35;0.5;....;n.a.
2021-05-11 13:12:45;0.5;....;n.a.
2021-05-11 13:12:55;0.5;....;n.a.
2021-05-11 13:13:05;0.5;....;n.a.
2021-05-11 13:13:15;0.5;....;n.a.
2021-05-11 13:13:25;0.5;....;n.a.
2021-05-11 13:13:35;0.5;....;n.a.
2021-05-11 13:13:45;0.5;....;n.a.
2021-05-11 13:13:55;0.5;....;n.a.
2021-05-11 13:14:05;0.5;....;n.a.
2021-05-11 13:14:15;0.5;....;n.a.
2021-05-11 13:14:25;0.5;....;n.a.
2021-05-11 13:14:35;0.5;....;n.a.
2021-05-11 13:14:45;0.5;....;n.a.
2021-05-11 13:14:55;0.5;....;n.a.
2021-05-11 13:15:05;0.5;....;n.a.
2021-05-11 13:15:15;0.5;....;n.a.
2021-05-11 13:15:25;0.5;....;n.a.
2021-05-11 13:15:35;0.5;....;n.a.
2021-05-11 13:15:45;0.5;....;n.a.
2021-05-11 13:15:55;0.5;....;n.a.
2021-05-11 13:16:05;0.5;....;n.a.
2021-05-11 13:16:15;0.5;....;n.a.
2021-05-11 13:16:25;0.5;....;n.a.
2021-05-11 13:16:35;0.5;....;n.a.
2021-05-11 13:16:45;0.5;....;n.a.
2021-05-11 13:16:55;0.5;....;n.a.
2021-05-11 13:17:05;0.5;....;n.a.
2021-05-11 13:17:15;0.5;....;n.a.
2021-05-11 13:17:25;0.5;....;n.a.
2021-05-11 13:17:35;0.5;....;n.a.
2021-05-11 13:17:45;0.5;....;n.a.
2021-05-11 13:17:55;0.5;....;n.a.
2021-05-11 13:18:05;0.5;....;n.a.
2021-05-11 13:18:15;0.5;....;n.a.
2021-05-11 13:18:25;0.5;....;n.a.
2021-05-11 13:18:35;0.5;....;n.a.
2021-05-11 13:18:45;0.5;....;n.a.
2021-05-11 13:18:55;0.5;....;n.a.
2021-05-11 13:19:05;0.5;....;n.a.
2021-05-11 13:19:15;0.5;....;n.a.
2021-05-11 13:19:25;0.5;....;n.a.
2021-05-11 13:19:35;0.5;....;n.a.
2021-05-11 13:19:45;0.5;....;n.a.
2021-05-11 13:19:55;0.5;....;n.a.
2021-05-11 13:20:05;0.5;....;n.a.
2021-05-11 13:20:15;0.5;....;n.a.
2021-05-11 13:20:25;0.5;....;n.a.
2021-05-11 13:20:35;0.5;....;n.a.
2021-05-11 13:20:45;0.5;....;n.a.
2021-05-11 13:20:55;0.5;....;n.a.
2021-05-11 13:21:05;0.5;....;n.a.
2021-05-11 13:21:15;0.5;....;n.a.
2021-05-11 13:21:25;0.5;....;n.a.
2021-05-11 13:21:35;0.5;....;n.a.
2021-05-11 13:21:45;0.5;....;n.a.
2021-05-11 13:21:55;0.5;....;n.a.
2021-05-11 13:22:05;0.5;....;n.a.
2021-05-11 13:22:15;0.5;....;n.a.
2021-05-11 13:22:25;0.5;....;n.a.
2021-05-11 13:22:35;0.5;....;n.a.
2021-05-11 13:22:45;0.5;....;n.a.
2021-05-11 13:22:55;0.5;....;n.a.
2021-05-11 13:23:05;0.5;....;n.a.
2021-05-11 13:23:15;0.5;....;n.a.
2021-05-11 13:23:25;0.5;....;n.a.
2021-05-11 13:23:35;0.5;....;n.a.
2021-05-11 13:23:45;0.5;....;n.a.
2021-05-11 13:23:55;0.5;....;n.a.
2021-05-11 13:24:05;0.5;....;n.a.
2021-05-11 13:24:15;0.5;....;n.a.
2021-05-11 13:24:25;0.5;....;n.a.
2021-05-11 13:24:35;0.5;....;n.a.
2021-05-11 13:24:45;0.5;....;n.a.
2021-05-11 13:24:55;0.5;....;n.a.
2021-05-11 13:25:05;0.4;....;n.a.
2021-05-11 13:25:15;0.4;....;n.a.
2021-05-11 13:25:25;0.5;....;n.a.
2021-05-11 13:25:35;0.4;....;n.a.
2021-05-11 13:25:45;0.4;....;n.a.
2021-05-11 13:25:55;0.5;....;n.a.
2021-05-11 13:26:05;0.5;....;n.a.
2021-05-11 13:26:15;0.5;....;n.a.
2021-05-11 13:26:25;0.4;....;n.a.
2021-05-11 13:26:35;0.5;....;n.a.
2021-05-11 13:26:45;0.4;....;n.a.
2021-05-11 13:26:55;0.4;....;n.a.
2021-05-11 13:27:05;0.4;....;n.a.
2021-05-11 13:27:15;0.5;....;n.a.
2021-05-11 13:27:25;0.4;....;n.a.
2021-05-11 13:27:35;0.4;....;n.a.
2021-05-11 13:27:45;0.4;....;n.a.
2021-05-11 13:27:55;0.5;....;n.a.
2021-05-11 13:28:05;0.4;....;n.a.
2021-05-11 13:28:15;0.4;....;n.a.
2021-05-11 13:28:25;0.5;....;n.a.
2021-05-11 13:28:35;0.5;....;n.a.
2021-05-11 13:28:45;0.4;....;n.a.
2021-05-11 13:28:55;0.5;....;n.a.
2021-05-11 13:29:05;0.4;....;n.a.
2021-05-11 13:29:15;0.4;....;n.a.
2021-05-11 13:29:25;0.4;....;n.a.
2021-05-11 13:29:35;0.4;....;n.a.
2021-05-11 13:29:45;0.5;....;n.a.
2021-05-11 13:29:55;0.5;....;n.a.
2021-05-11 13:30:05;0.5;....;n.a.
2021-05-11 13:30:15;0.5;....;n.a.
2021-05-11 13:30:25;0.5;....;n.a.
2021-05-11 13:30:35;0.5;....;n.a.
2021-05-11 13:30:45;0.5;....;n.a.
2021-05-11 13:30:55;0.5;....;n.a.
2021-05-11 13:31:05;0.5;....;n.a.
2021-05-11 13:31:15;0.5;....;n.a.
2021-05-11 13:31:25;0.5;....;n.a.
2021-05-11 13:31:35;0.5;....;n.a.
2021-05-11 13:31:45;0.5;....;n.a.
2021-05-11 13:31:55;0.5;....;n.a.
2021-05-11 13:32:05;0.5;....;n.a.
2021-05-11 13:32:15;0.5;....;n.a.
2021-05-11 13:32:25;0.5;....;n.a.
2021-05-11 13:32:35;0.5;....;n.a.
2021-05-11 13:32:45;0.5;....;n.a.
2021-05-11 13:32:55;0.5;....;n.a.
2021-05-11 13:33:05;0.5;....;n.a.
2021-05-11 13:33:15;0.5;....;n.a.
2021-05-11 13:33:25;0.5;....;n.a.
2021-05-11 13:33:35;0.5;....;n.a.
2021-05-11 13:33:45;0.5;....;n.a.
2021-05-11 13:33:55;0.5;....;n.a.
2021-05-11 13:34:05;0.5;....;n.a.
2021-05-11 13:34:15;0.5;....;n.a.
2021-05-11 13:34:25;0.5;....;n.a.
2021-05-11 13:34:35;0.5;....;n.a.
2021-05-11 13:34:45;0.5;....;n.a.
2021-05-11 13:34:55;0.5;....;n.a.
2021-05-11 13:35:05;0.5;....;n.a.
2021-05-11 13:35:15;0.5;....;n.a.
2021-05-11 13:35:25;0.5;....;n.a.
2021-05-11 13:35:35;0.5;....;n.a.
2021-05-11 13:35:45;0.5;....;n.a.
2021-05-11 13:35:55;0.5;....;n.a.
2021-05-11 13:36:05;0.5;....;n.a.
2021-05-11 13:36:15;0.5;....;n.a.
2021-05-11 13:36:25;0.5;....;n.a.
2021-05-11 13:36:35;0.5;....;n.a.
2021-05-11 13:36:45;0.5;....;n.a.
2021-05-11 13:36:55;0.5;....;n.a.
2021-05-11 13:37:05;0.5;....;n.a.
2021-05-11 13:37:15;0.5;....;n.a.
2021-05-11 13:37:25;0.5;....;n.a.
2021-05-11 13:37:35;0.5;....;n.a.
2021-05-11 13:37:45;0.5;....;n.a.
2021-05-11 13:37:55;0.5;....;n.a.
2021-05-11 13:38:05;0.5;....;n.a.
2021-05-11 13:38:15;0.5;....;n.a.
2021-05-11 13:38:25;0.5;....;n.a.
2021-05-11 13:38:35;0.5;....;n.a.
2021-05-11 13:38:45;0.5;....;n.a.
2021-05-11 13:38:55;0.5;....;n.a.
2021-05-11 13:39:05;0.5;....;n.a.
2021-05-11 13:39:15;0.5;....;n.a.
2021-05-11 13:39:25;0.5;....;n.a.
2021-05-11 13:39:35;0.5;....;n.a.
2021-05-11 13:39:45;0.5;....;n.a.
2021-05-11 13:39:55;0.5;....;n.a.
2021-05-11 13:40:05;0.5;....;n.a.
2021-05-11 13:40:15;0.5;....;n.a.
2021-05-11 13:40:25;0.5;....;n.a.
2021-05-11 13:40:35;0.5;....;n.a.
2021-05-11 13:40:45;0.5;....;n.a.
2021-05-11 13:40:55;0.5;....;n.a.
2021-05-11 13:41:05;0.5;....;n.a.
2021-05-11 13:41:15;0.5;....;n.a.
2021-05-11 13:41:25;0.5;....;n.a.
2021-05-11 13:41:35;0.5;....;n.a.
2021-05-11 13:41:45;0.5;....;n.a.
2021-05-11 13:41:55;0.5;....;n.a.
2021-05-11 13:42:05;0.5;....;n.a.
2021-05-11 13:42:15;0.5;....;n.a.
2021-05-11 13:42:25;0.5;....;n.a.
2021-05-11 13:42:35;0.5;....;n.a.
2021-05-11 13:42:45;0.5;....;n.a.
2021-05-11 13:42:55;0.5;....;n.a.
2021-05-11 13:43:05;0.5;....;n.a.
2021-05-11 13:43:15;0.5;....;n.a.
2021-05-11 13:43:25;0.5;....;n.a.
2021-05-11 13:43:35;0.5;....;n.a.
2021-05-11 13:43:45;0.5;....;n.a.
2021-05-11 13:43:55;0.5;....;n.a.
2021-05-11 13:44:05;0.5;....;n.a.
2021-05-11 13:44:15;0.5;....;n.a.
2021-05-11 13:44:25;0.5;....;n.a.
2021-05-11 13:44:35;0.5;....;n.a.
2021-05-11 13:44:45;0.5;....;n.a.
2021-05-11 13:44:55;0.5;....;n.a.
2021-05-11 13:45:05;0.5;....;n.a.
2021-05-11 13:45:15;0.5;....;n.a.
2021-05-11 13:45:25;0.5;....;n.a.
2021-05-11 13:45:35;0.5;....;n.a.
2021-05-11 13:45:45;0.5;....;n.a.
2021-05-11 13:45:55;0.5;....;n.a.
2021-05-11 13:46:05;0.5;....;n.a.
2021-05-11 13:46:15;0.5;....;n.a.
2021-05-11 13:46:25;0.4;....;n.a.
2021-05-11 13:46:35;0.4;....;n.a.
2021-05-11 13:46:45;0.4;....;n.a.
2021-05-11 13:46:55;0.5;....;n.a.
2021-05-11 13:47:05;0.5;....;n.a.
2021-05-11 13:47:15;0.5;....;n.a.
2021-05-11 13:47:25;0.5;....;n.a.
2021-05-11 13:47:35;0.5;....;n.a.
2021-05-11 13:47:45;0.5;....;n.a.
2021-05-11 13:47:55;0.5;....;n.a.
2021-05-11 13:48:05;0.5;....;n.a.
2021-05-11 13:48:15;0.5;....;n.a.
2021-05-11 13:48:25;0.5;....;n.a.
2021-05-11 13:48:35;0.5;....;n.a.
2021-05-11 13:48:45;0.5;....;n.a.
2021-05-11 13:48:55;0.5;....;n.a.
2021-05-11 13:49:05;0.5;....;n.a.
2021-05-11 13:49:15;0.5;....;n.a.
2021-05-11 13:49:25;0.5;....;n.a.
2021-05-11 13:49:35;0.5;....;n.a.
2021-05-11 13:49:45;0.5;....;n.a.
2021-05-11 13:49:55;0.5;....;n.a.
2021-05-11 13:50:05;0.5;....;n.a.
2021-05-11 13:50:15;0.5;....;n.a.
2021-05-11 13:50:25;0.5;....;n.a.
2021-05-11 13:50:35;0.5;....;n.a.
2021-05-11 13:50:45;0.5;....;n.a.
2021-05-11 13:50:55;0.5;....;n.a.
2021-05-11 13:51:05;0.5;....;n.a.
2021-05-11 13:51:15;0.5;....;n.a.
2021-05-11 13:51:25;0.5;....;n.a.
2021-05-11 13:51:35;0.5;....;n.a.
2021-05-11 13:51:45;0.5;....;n.a.
2021-05-11 13:51:55;0.5;....;n.a.
2021-05-11 13:52:05;0.5;....;n.a.
2021-05-11 13:52:15;0.5;....;n.a.
2021-05-11 13:52:25;0.5;....;n.a.
2021-05-11 13:52:35;0.5;....;n.a.
2021-05-11 13:52:45;0.5;....;n.a.
2021-05-11 13:52:55;0.5;....;n.a.
2021-05-11 13:53:05;0.5;....;n.a.
2021-05-11 13:53:15;0.5;....;n.a.
2021-05-11 13:53:25;0.5;....;n.a.
2021-05-11 13:53:35;0.5;....;n.a.
2021-05-11 13:53:45;0.5;....;n.a.
2021-05-11 13:53:55;0.5;....;n.a.
2021-05-11 13:54:05;0.5;....;n.a.
2021-05-11 13:54:15;0.5;....;n.a.
2021-05-11 13:54:25;0.5;....;n.a.
2021-05-11 13:54:35;0.5;....;n.a.
2021-05-11 13:54:45;0.5;....;n.a.
2021-05-11 13:54:55;0.5;....;n.a.
2021-05-11 13:55:05;0.5;....;n.a.
2021-05-11 13:55:15;0.5;....;n.a.
